sample_id,variety,observable_id,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,uncertainty_value,uncertainty_type,uncertainty_scope,uncertainty_status,source_derived,protected_target,source_path,source_row_lineage
A13,Arabica,bioactives,ferulic_acid,FA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,tartaric_acid,TA,3.38,g/L,directly_reported_beverage_volumetric_concentration,3.38,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,trigonelline,TR,3.37,g/L,directly_reported_beverage_volumetric_concentration,3.37,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,total_chlorogenic_acids,totCQA,7.65,g/L,directly_reported_beverage_volumetric_concentration,7.65,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,total_organic_acids,totOA,30.39,g/L,directly_reported_beverage_volumetric_concentration,30.39,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,lipids,total_lipids,LP,0.34,g/100 mL,directly_reported_beverage_volumetric_concentration,3.4000000000000004,kg/m^3,beverage_volume,9.0,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/lipids.csv,A13
A13,Arabica,total_solids,,,10.08,g/100 mL,directly_reported_beverage_volumetric_concentration,100.8,kg/m^3,beverage_volume,11.2,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/total_solids.csv,A13
A14,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,2.73,g/L,directly_reported_beverage_volumetric_concentration,2.73,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.29,g/L,directly_reported_beverage_volumetric_concentration,0.29,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,5_caffeoylquinic_acid,5CQA,5.0,g/L,directly_reported_beverage_volumetric_concentration,5.0,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,acetic_acid,AA,7.12,g/L,directly_reported_beverage_volumetric_concentration,7.12,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,citric_acid,CA,10.73,g/L,directly_reported_beverage_volumetric_concentration,10.73,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
