family,run_index,particle_size_um,distribution_density_pct
family_red,0,112.28,-0.133
family_red,1,112.28,-0.1452
family_red,0,112.86,-0.133
family_red,1,112.86,-0.1452
family_red,0,113.44,-0.1328
family_red,1,113.44,-0.1452
family_red,0,114.03,-0.1328
family_red,1,114.03,-0.145
family_red,0,114.61,-0.1328
family_red,1,114.61,-0.145
family_red,0,115.21,-0.1323
family_red,1,115.21,-0.1445
family_red,0,115.8,-0.1321
family_red,1,115.8,-0.1445
family_red,0,116.4,-0.1319
family_red,1,116.4,-0.1441
family_red,0,117.0,-0.1319
family_red,1,117.0,-0.138
family_red,2,117.0,-0.1441
family_red,0,117.6,-0.1319
family_red,1,117.6,-0.1375
family_red,2,117.6,-0.1436
family_red,0,118.21,-0.1314
family_red,1,118.21,-0.1371
family_red,2,118.21,-0.1436
family_red,0,118.82,-0.131
family_red,1,118.82,-0.1366
family_red,2,118.82,-0.1436
family_red,0,119.43,-0.1307
family_red,1,119.43,-0.1364
family_red,2,119.43,-0.1432
family_red,0,120.05,-0.1307
family_red,1,120.05,-0.1364
family_red,2,120.05,-0.1432
family_red,0,120.67,-0.1312
family_red,1,120.67,-0.1364
family_red,2,120.67,-0.1432
family_red,0,121.29,-0.1307
family_red,1,121.29,-0.1366
family_red,2,121.29,-0.1432
family_red,0,121.92,-0.131
family_red,1,121.92,-0.1366
family_red,2,121.92,-0.1432
family_red,0,122.55,-0.1298
family_red,1,122.55,-0.1364
family_red,2,122.55,-0.1429
family_red,0,123.18,-0.1296
family_red,1,123.18,-0.1425
family_red,0,123.81,-0.1292
family_red,1,123.81,-0.1416
family_red,0,124.45,-0.1283
family_red,1,124.45,-0.1411
family_red,0,125.1,-0.1267
family_red,1,125.1,-0.1402
family_red,0,125.74,-0.1262
family_red,1,125.74,-0.1328
family_red,2,125.74,-0.1398
family_red,0,126.39,-0.1328
family_red,1,126.39,-0.1396
family_red,0,127.04,-0.1328
family_red,1,127.04,-0.1396
family_red,0,127.7,-0.1264
family_red,1,127.7,-0.1328
family_red,2,127.7,-0.1396
family_red,0,128.36,-0.1264
family_red,1,128.36,-0.1328
family_red,2,128.36,-0.1396
family_red,0,129.02,-0.1328
family_red,1,129.02,-0.1393
family_red,0,129.69,-0.1325
family_red,1,129.69,-0.1391
family_red,0,130.35,-0.1387
family_red,0,131.03,-0.1249
family_red,1,131.03,-0.1387
family_red,0,131.7,-0.1246
family_red,1,131.7,-0.1382
family_red,0,132.38,-0.1242
family_red,1,132.38,-0.1377
family_red,0,133.07,-0.1237
family_red,1,133.07,-0.1373
family_red,0,133.75,-0.1235
family_red,1,133.75,-0.1368
family_red,0,134.44,-0.1231
family_red,1,134.44,-0.1364
family_red,0,135.14,-0.1226
family_red,1,135.14,-0.1359
family_red,0,135.83,-0.1348
family_red,0,136.54,-0.1203
family_red,1,136.54,-0.1267
family_red,2,136.54,-0.1341
family_red,0,137.24,-0.1194
family_red,1,137.24,-0.1253
family_red,2,137.24,-0.133
family_red,0,137.95,-0.1181
family_red,1,137.95,-0.1325
family_red,0,138.66,-0.1222
family_red,1,138.66,-0.1316
family_red,0,139.38,-0.1219
family_red,1,139.38,-0.1312
family_red,0,140.1,-0.1215
family_red,1,140.1,-0.1305
family_red,0,140.82,-0.1149
family_red,1,140.82,-0.121
family_red,2,140.82,-0.1301
family_red,0,141.54,-0.1206
family_red,1,141.54,-0.1294
family_red,0,142.28,-0.1201
family_red,1,142.28,-0.1287
family_red,0,143.01,-0.1197
family_red,1,143.01,-0.128
family_red,0,143.75,-0.1188
family_red,1,143.75,-0.1271
family_red,0,144.49,-0.1179
family_red,1,144.49,-0.1262
family_red,0,145.24,-0.1174
family_red,1,145.24,-0.1258
family_red,0,145.98,-0.1163
family_red,1,145.98,-0.1249
family_red,0,146.74,-0.116
family_red,1,146.74,-0.1244
family_red,0,147.5,-0.1158
family_red,1,147.5,-0.1244
family_red,0,148.26,-0.1158
family_red,1,148.26,-0.1244
family_red,0,149.02,-0.1158
family_red,1,149.02,-0.1244
family_red,0,149.79,-0.1156
family_red,1,149.79,-0.1242
family_red,0,150.56,-0.1147
family_red,0,151.34,-0.114
family_red,0,152.12,-0.1127
family_red,0,152.91,-0.112
family_red,0,153.7,-0.1106
