series,run_index,time_s,flow_rate_g_per_s
no_added_fines_yellow,0,5.37,3.3928
no_added_fines_yellow,1,5.37,2.8607
no_added_fines_yellow,2,5.37,0.7728
no_added_fines_yellow,3,5.37,0.085
no_added_fines_yellow,0,5.42,3.3766
no_added_fines_yellow,1,5.42,2.9295
no_added_fines_yellow,2,5.42,0.1173
no_added_fines_yellow,0,5.48,3.3705
no_added_fines_yellow,1,5.48,3.0084
no_added_fines_yellow,2,5.48,2.8324
no_added_fines_yellow,3,5.48,1.0581
no_added_fines_yellow,4,5.48,0.6798
no_added_fines_yellow,5,5.48,0.1173
no_added_fines_yellow,0,5.53,3.3827
no_added_fines_yellow,1,5.53,3.065
no_added_fines_yellow,2,5.53,2.8384
no_added_fines_yellow,3,5.53,1.0601
no_added_fines_yellow,4,5.53,0.6919
no_added_fines_yellow,0,5.59,3.4009
no_added_fines_yellow,1,5.59,3.1197
no_added_fines_yellow,2,5.59,2.8566
no_added_fines_yellow,3,5.59,1.1228
no_added_fines_yellow,4,5.59,0.698
no_added_fines_yellow,0,5.64,3.4211
no_added_fines_yellow,1,5.64,3.1682
no_added_fines_yellow,2,5.64,2.885
no_added_fines_yellow,3,5.64,1.1228
no_added_fines_yellow,4,5.64,0.7607
no_added_fines_yellow,0,5.7,3.415
no_added_fines_yellow,1,5.7,3.2006
no_added_fines_yellow,2,5.7,3.1338
no_added_fines_yellow,3,5.7,2.8951
no_added_fines_yellow,4,5.7,0.7647
no_added_fines_yellow,5,5.7,0.1376
no_added_fines_yellow,0,5.75,3.3867
no_added_fines_yellow,1,5.75,3.1601
no_added_fines_yellow,2,5.75,2.9072
no_added_fines_yellow,3,5.75,1.1512
no_added_fines_yellow,4,5.75,0.7749
no_added_fines_yellow,5,5.75,0.1376
no_added_fines_yellow,0,5.81,3.3382
no_added_fines_yellow,1,5.81,3.0873
no_added_fines_yellow,2,5.81,2.9072
no_added_fines_yellow,3,5.81,1.1471
no_added_fines_yellow,4,5.81,0.7789
no_added_fines_yellow,0,5.86,3.2855
no_added_fines_yellow,1,5.86,3.0225
no_added_fines_yellow,2,5.86,2.9072
no_added_fines_yellow,3,5.86,1.135
no_added_fines_yellow,4,5.86,0.785
no_added_fines_yellow,5,5.86,0.7303
no_added_fines_yellow,6,5.86,0.1699
no_added_fines_yellow,0,5.92,3.2795
no_added_fines_yellow,1,5.92,3.0145
no_added_fines_yellow,2,5.92,2.8809
no_added_fines_yellow,3,5.92,1.1329
no_added_fines_yellow,4,5.92,0.7324
no_added_fines_yellow,5,5.92,0.2023
no_added_fines_yellow,0,5.97,3.324
no_added_fines_yellow,1,5.97,3.0043
no_added_fines_yellow,2,5.97,2.8486
no_added_fines_yellow,3,5.97,1.0884
no_added_fines_yellow,4,5.97,0.7384
no_added_fines_yellow,5,5.97,0.2347
no_added_fines_yellow,0,6.02,3.409
no_added_fines_yellow,1,6.02,2.972
no_added_fines_yellow,2,6.02,2.796
no_added_fines_yellow,3,6.02,1.0803
no_added_fines_yellow,4,6.02,0.7566
no_added_fines_yellow,5,6.02,0.2347
no_added_fines_yellow,0,6.08,3.4514
no_added_fines_yellow,1,6.08,3.065
no_added_fines_yellow,2,6.08,2.891
no_added_fines_yellow,3,6.08,2.7636
no_added_fines_yellow,4,6.08,1.0905
no_added_fines_yellow,5,6.08,0.7566
no_added_fines_yellow,0,6.13,3.4312
no_added_fines_yellow,1,6.13,3.0954
no_added_fines_yellow,2,6.13,2.8465
no_added_fines_yellow,3,6.13,2.7514
no_added_fines_yellow,4,6.13,1.0965
no_added_fines_yellow,5,6.13,0.7486
no_added_fines_yellow,6,6.13,0.0243
no_added_fines_yellow,0,6.19,3.3645
no_added_fines_yellow,1,6.19,3.1035
no_added_fines_yellow,2,6.19,2.8243
no_added_fines_yellow,3,6.19,2.7616
no_added_fines_yellow,4,6.19,1.1633
no_added_fines_yellow,5,6.19,0.702
no_added_fines_yellow,0,6.24,3.2997
no_added_fines_yellow,1,6.24,3.1156
no_added_fines_yellow,2,6.24,2.7939
no_added_fines_yellow,3,6.24,1.1633
no_added_fines_yellow,4,6.24,0.696
no_added_fines_yellow,5,6.24,0.0566
no_added_fines_yellow,0,6.3,3.2512
no_added_fines_yellow,1,6.3,3.1197
no_added_fines_yellow,2,6.3,2.8182
no_added_fines_yellow,3,6.3,1.222
no_added_fines_yellow,4,6.3,0.6939
no_added_fines_yellow,5,6.3,0.3338
no_added_fines_yellow,0,6.35,3.2046
no_added_fines_yellow,1,6.35,3.1197
no_added_fines_yellow,2,6.35,2.8607
no_added_fines_yellow,3,6.35,1.228
no_added_fines_yellow,4,6.35,0.7101
no_added_fines_yellow,5,6.35,0.3338
no_added_fines_yellow,0,6.41,3.1743
no_added_fines_yellow,1,6.41,3.1156
no_added_fines_yellow,2,6.41,2.9396
no_added_fines_yellow,3,6.41,2.7939
no_added_fines_yellow,4,6.41,1.2361
no_added_fines_yellow,5,6.41,0.7243
no_added_fines_yellow,0,6.46,3.0569
no_added_fines_yellow,1,6.46,2.796
no_added_fines_yellow,2,6.46,1.2402
no_added_fines_yellow,3,6.46,0.7344
no_added_fines_yellow,0,6.51,3.0772
no_added_fines_yellow,1,6.51,2.8324
no_added_fines_yellow,2,6.51,0.7303
no_added_fines_yellow,3,6.51,0.0749
no_added_fines_yellow,0,6.57,2.9578
no_added_fines_yellow,1,6.57,1.2058
no_added_fines_yellow,2,6.57,0.7344
no_added_fines_yellow,3,6.57,0.0749
no_added_fines_yellow,0,6.62,2.9618
no_added_fines_yellow,1,6.62,1.1977
no_added_fines_yellow,2,6.62,1.1512
no_added_fines_yellow,3,6.62,0.7607
no_added_fines_yellow,4,6.62,0.6697
no_added_fines_yellow,0,6.68,2.9457
no_added_fines_yellow,1,6.68,1.1512
no_added_fines_yellow,2,6.68,0.7647
no_added_fines_yellow,3,6.68,0.6697
no_added_fines_yellow,4,6.68,0.1052
