time_s,line_pressure_bar,mass_g
49.4640,9.0860,43.7085
49.5570,9.0755,43.8930
49.6510,9.1190,44.0867
49.7440,9.1333,44.2736
49.8380,9.1333,44.4712
49.9310,9.0793,44.6442
50.0240,9.0620,44.8244
50.1180,9.0980,45.0079
50.2110,9.0928,45.1949
50.3040,9.1242,45.3890
50.3970,9.0913,45.5769
50.4910,9.0627,45.7720
50.5850,9.0793,45.9623
50.6780,9.0440,46.1786
50.7710,9.0635,46.3799
50.8640,9.0492,46.5587
50.9570,9.0642,46.7192
51.0500,9.0845,46.8970
51.1450,9.0605,47.0926
51.2380,9.0365,47.2747
51.3310,9.0267,47.4799
51.4240,9.0567,47.6731
51.5170,9.0965,47.8461
51.6110,9.1070,48.0297
51.7040,9.0853,48.2258
51.7980,9.0590,48.4290
51.8910,9.0717,48.5972
51.9840,9.0740,48.7621
52.0780,9.0942,48.9663
52.1710,9.0898,49.1552
52.2640,9.0935,49.3200
52.3570,9.1040,49.5271
52.4510,9.0838,49.7400
52.5440,9.0500,49.9332
52.6380,9.0403,50.1067
52.7310,9.0845,50.2855
52.8240,9.0898,50.4676
52.9170,9.1033,50.6694
53.0100,9.0538,50.8713
53.1050,9.0297,51.0476
53.1980,9.0688,51.2067
53.2910,9.0598,51.3840
53.3840,9.1070,51.5883
53.4770,9.0875,51.7790
53.5710,9.0928,51.9597
53.6640,9.1115,52.1342
53.7580,9.0830,52.2932
53.8510,9.0860,52.4811
53.9440,9.0890,52.7142
54.0370,9.1160,52.9295
54.1310,9.1333,53.1121
54.2240,9.1212,53.3101
54.3170,9.0980,53.5018
54.4110,9.0650,53.6672
54.5040,9.0860,53.8455
54.5980,9.1167,54.0286
54.6910,9.1227,54.2054
54.7840,9.1085,54.4077
54.8770,9.1002,54.5985
54.9700,9.1100,54.7715
55.0650,9.0920,54.9599
55.1580,9.0935,55.1454
55.2510,9.1070,55.3314
55.3440,9.1303,55.4962
55.4370,9.1460,55.7086
55.5300,9.1445,55.9133
55.6240,9.0958,56.1012
55.7180,9.0815,56.3055
55.8110,9.1167,56.4914
55.9040,9.1273,56.6471
55.9970,9.1498,56.8047
56.0910,9.1070,56.9763
56.1840,9.0868,57.1344
56.2770,9.1145,57.3151
56.3710,9.0755,57.5044
56.4640,9.1062,57.7053
56.5580,9.0808,57.9052
56.6510,9.1025,58.0855
56.7440,9.1280,58.2685
56.8370,9.1025,58.4516
56.9300,9.0853,58.6395
57.0230,9.0620,58.8265
57.1180,9.1017,59.0269
57.2110,9.1242,59.2071
57.3040,9.1258,59.3931
57.3970,9.1122,59.5939
57.4900,9.0777,59.7953
57.5840,9.1115,60.0010
57.6770,9.0950,60.1922
57.7710,9.1033,60.3835
57.8640,9.0988,60.5478
57.9570,9.1002,60.7175
58.0510,9.1227,60.8871
58.1440,9.1025,61.0875
58.2370,9.0612,61.2730
58.3310,9.0485,61.4508
58.4240,9.0883,61.6546
58.5170,9.1205,61.8420
58.6110,9.1212,62.0299
58.7040,9.0605,62.2029
58.7970,9.0567,62.4066
58.8900,9.0830,62.5782
58.9840,9.0913,62.7483
59.0780,9.1288,62.9454
59.1710,9.1010,63.1189
59.2640,9.0958,63.2947
59.3570,9.1235,63.5033
59.4500,9.0898,63.6941
59.5440,9.0920,63.8474
59.6380,9.0725,64.0468
59.7310,9.1145,64.2299
59.8240,9.1340,64.3967
59.9170,9.0958,64.5754
60.0100,9.0793,64.7705
60.1040,9.0598,64.9411
60.1970,9.0898,65.1161
60.2910,9.1197,65.2929
60.3840,9.1242,65.4870
60.4770,9.1108,65.6735
60.5710,9.0793,65.8355
60.6640,9.1085,66.0138
60.7570,9.0935,66.1997
60.8500,9.1048,66.3828
60.9440,9.1010,66.5875
61.0380,9.1025,66.7788
61.1310,9.1288,66.9648
61.2240,9.1040,67.1238
61.3170,9.0627,67.3252
61.4100,9.0567,67.5016
61.5030,9.0995,67.6904
61.5980,9.1235,67.8774
61.6910,9.1273,68.0417
61.7840,9.0853,68.2229
61.8770,9.0658,68.4454
61.9700,9.0980,68.6160
62.0640,9.0800,68.8082
62.1570,9.1167,68.9947
62.2510,9.0860,69.1638
62.3440,9.0777,69.3368
62.4370,9.1048,69.5367
62.5310,9.0425,69.7477
62.6240,9.0523,69.9193
62.7170,9.0350,70.0851
62.8100,9.0785,70.2576
62.9040,9.0958,70.4316
62.9970,9.0868,70.6281
63.0910,9.0605,70.8170
63.1840,9.0395,70.9799
63.2770,9.0747,71.1610
63.3700,9.1070,71.3576
63.4630,9.1205,71.5565
