# GENERATED by puckworks.analysis.lateral_coupling_discrimination --write; do not hand-edit.
case_id,lambda,G_lat,g_axial_reference,p1_over_Pin,p2_over_Pin,pressure_gap_over_Pin,gap_remaining_fraction,pressure_gap_class,Q_over_Q0,effective_conductance_ratio,q_lat_1to2,q_lat_over_Q,inlet_share_1,outlet_share_1,depthwise_share_transfer_1,p_required_physical_over_uncoupled,alpha_star_share,min_share_residual,exact_share_match_exists,completion_Q_residual,completion_Q_matchable,mathematically_distinguishable,global_residual,condition_number
general_asymmetric,0.5,0.401041667,0.802083333,0.800985335,0.413817599,0.387167736,0.844729606,pressure_gap_transition,1.04436297,1.04436297,139743.35472044,0.092680358,0.475164646,0.382484288,-0.092680358,0.957521503,0.0,0.033100128,False,0.04436297,False,True,-0.0,1.26751991
general_asymmetric,1.0,0.802083333,0.802083333,0.777332593,0.442200889,0.335131704,0.731196446,pressure_gap_transition,1.076801016,1.076801016,241923.198984449,0.1556145,0.515622309,0.360007808,-0.1556145,0.928676687,0.0,0.055576607,False,0.076801016,False,True,-1e-09,1.416318768
general_asymmetric,2.0,1.604166667,0.802083333,0.74506003,0.480927964,0.264132066,0.576288144,pressure_gap_transition,1.12106053,1.12106053,381340.670335168,0.235609103,0.56704741,0.331438307,-0.235609103,0.892012494,0.0,0.084146108,False,0.12106053,False,True,0.0,1.759976886
general_asymmetric,5.0,4.010416667,0.802083333,0.69840572,0.536913137,0.161492583,0.352347454,pressure_gap_transition,1.185043585,1.185043585,582887.291634806,0.340689121,0.634598851,0.293909729,-0.340689121,0.843850819,0.0,0.121674686,False,0.185043585,False,True,1e-09,2.840284077
general_asymmetric,10.0,8.020833333,0.802083333,0.669551699,0.571537962,0.098013737,0.213848153,pressure_gap_transition,1.224614813,1.224614813,707536.662335252,0.400181901,0.672844209,0.272662308,-0.400181901,0.816583295,0.0,0.142922107,False,0.224614813,False,True,-0.0,4.658652538
general_asymmetric,100.0,80.208333333,0.802083333,0.630516988,0.618379615,0.012137373,0.026481541,pressure_gap_homogenized,1.278148131,1.278148131,876166.613029292,0.474803065,0.720814957,0.246011892,-0.474803065,0.782381929,0.0,0.169572523,False,0.278148131,False,True,2e-09,37.467053083
scaled_mirror,0.0,0.0,7.5,0.75,0.25,0.5,1.0,pressure_gap_unchanged,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,True,0.0,True,False,0.0,1.0
scaled_mirror,0.01,0.075,7.5,0.749066002,0.250933998,0.498132005,0.99626401,pressure_gap_unchanged,1.00124533,1.00124533,33623.910336239,0.002487562,0.501243781,0.498756219,-0.002487562,0.998756219,0.0,0.001243781,False,0.00124533,False,True,6e-09,1.00375
scaled_mirror,0.05,0.375,7.5,0.745398773,0.254601227,0.490797546,0.981595092,pressure_gap_unchanged,1.006134969,1.006134969,165644.171779141,0.012195122,0.506097561,0.493902439,-0.012195122,0.993902439,0.0,0.006097561,False,0.006134969,False,True,0.0,1.01875
scaled_mirror,0.1,0.75,7.5,0.740963855,0.259036145,0.481927711,0.963855422,pressure_gap_unchanged,1.012048193,1.012048193,325301.204819277,0.023809524,0.511904762,0.488095238,-0.023809524,0.988095238,0.0,0.011904762,False,0.012048193,False,True,2e-09,1.0375
scaled_mirror,0.25,1.875,7.5,0.728571429,0.271428571,0.457142857,0.914285714,pressure_gap_transition,1.028571429,1.028571429,771428.571428571,0.055555556,0.527777778,0.472222222,-0.055555556,0.972222222,0.0,0.027777778,False,0.028571429,False,True,0.0,1.09375
scaled_mirror,0.5,3.75,7.5,0.710526316,0.289473684,0.421052632,0.842105263,pressure_gap_transition,1.052631579,1.052631579,1421052.631578947,0.1,0.55,0.45,-0.1,0.95,0.0,0.05,False,0.052631579,False,True,2e-09,1.1875
scaled_mirror,1.0,7.5,7.5,0.681818182,0.318181818,0.363636364,0.727272727,pressure_gap_transition,1.090909091,1.090909091,2454545.454545455,0.166666667,0.583333333,0.416666667,-0.166666667,0.916666667,0.0,0.083333333,False,0.090909091,False,True,0.0,1.375
scaled_mirror,2.0,15.0,7.5,0.642857143,0.357142857,0.285714286,0.571428571,pressure_gap_transition,1.142857143,1.142857143,3857142.857142856,0.25,0.625,0.375,-0.25,0.875,0.0,0.125,False,0.142857143,False,True,2e-09,1.75
scaled_mirror,5.0,37.5,7.5,0.586956522,0.413043478,0.173913043,0.347826087,pressure_gap_transition,1.217391304,1.217391304,5869565.217391306,0.357142857,0.678571429,0.321428571,-0.357142857,0.821428571,0.0,0.178571429,False,0.217391304,False,True,0.0,2.875
scaled_mirror,10.0,75.0,7.5,0.552631579,0.447368421,0.105263158,0.210526316,pressure_gap_transition,1.263157895,1.263157895,7105263.157894736,0.416666667,0.708333333,0.291666667,-0.416666667,0.791666667,0.0,0.208333333,False,0.263157895,False,True,0.0,4.75
scaled_mirror,100.0,750.0,7.5,0.506493506,0.493506494,0.012987013,0.025974026,pressure_gap_homogenized,1.324675325,1.324675325,8766233.766233724,0.490196078,0.745098039,0.254901961,-0.490196078,0.754901961,0.0,0.245098039,False,0.324675325,False,True,0.0,38.5
