t_over_tnu,Dr=0.0005,Dr=0.0010,Dr=0.0050,Dr=0.0200
139.5,0.040312,0.04693,0.059675,0.070123
140.0,0.040267,0.04693,0.059614,0.07
140.5,0.040221,0.046777,0.059522,0.069847
141.0,0.040129,0.046746,0.059369,0.069755
141.5,0.040129,0.0467,0.059246,0.069586
142.0,0.040098,0.046562,0.059216,0.069479
142.5,0.040037,0.046562,0.059062,0.069403
143.0,0.040006,0.046471,0.059001,0.069234
143.5,0.039945,0.046379,0.058879,0.069127
144.0,0.039945,0.046379,0.058787,0.06905
144.5,0.039914,0.046256,0.058695,0.068866
145.0,0.039853,0.046195,0.058557,0.068759
145.5,0.039761,0.046195,0.058511,0.068652
146.0,0.039761,0.046057,0.058373,0.068529
146.5,0.0397,0.046011,0.058327,0.068376
147.0,0.039669,0.046011,0.058143,0.0683
147.5,0.039638,0.045888,0.058113,0.068192
148.0,0.039577,0.045827,0.05796,0.068024
148.5,0.039577,0.045827,0.057929,0.067917
149.0,0.039547,0.045674,0.057776,0.067794
149.5,0.039439,0.045643,0.057684,0.06761
150.0,0.039393,0.045551,0.057592,0.067549
150.5,0.039393,0.04546,0.0575,0.067426
151.0,0.039393,0.04546,0.057408,0.067304
151.5,0.039301,0.045414,0.057316,0.067197
152.0,0.03924,0.045276,0.057224,0.067059
152.5,0.03921,0.045276,0.057102,0.066906
153.0,0.03921,0.04523,0.05704,0.066829
153.5,0.039179,0.045092,0.056918,0.066722
154.0,0.039072,0.045092,0.056857,0.066599
154.5,0.039026,0.045,0.056703,0.066477
155.0,0.039026,0.044908,0.056673,0.066415
155.5,0.038964,0.044908,0.05655,0.066262
156.0,0.038934,0.044816,0.056489,0.066109
156.5,0.038842,0.044724,0.056351,0.066002
157.0,0.038842,0.044724,0.056305,0.065895
157.5,0.038842,0.044678,0.056121,0.065772
158.0,0.038811,0.04454,0.056121,0.06568
158.5,0.038704,0.04454,0.055937,0.065634
159.0,0.038658,0.044479,0.055937,0.065466
159.5,0.038658,0.044357,0.055784,0.065343
160.0,0.038612,0.044357,0.055754,0.065175
160.5,0.038566,0.044265,0.05557,0.065098
161.0,0.038474,0.044173,0.05557,0.065037
161.5,0.038474,0.044173,0.055417,0.064914
162.0,0.038382,0.044035,0.055386,0.064807
162.5,0.038352,0.043989,0.055294,0.0647
163.0,0.03829,0.043989,0.055202,0.064577
163.5,0.03829,0.043897,0.05511,0.064455
164.0,0.03829,0.043805,0.055018,0.064363
164.5,0.038199,0.043759,0.054881,0.06421
165.0,0.038107,0.043683,0.054835,0.064148
165.5,0.038107,0.043621,0.054697,0.064026
166.0,0.038076,0.043621,0.054651,0.063934
166.5,0.038015,0.043529,0.054559,0.063796
167.0,0.037953,0.043437,0.054467,0.063719
167.5,0.037923,0.043407,0.054344,0.063627
168.0,0.037923,0.0433,0.054283,0.063474
168.5,0.037892,0.043254,0.054161,0.063382
169.0,0.037785,0.043254,0.054099,0.06329
169.5,0.037739,0.043192,0.054038,0.063137
170.0,0.037739,0.04307,0.053915,0.063107
170.5,0.037678,0.04307,0.053885,0.062953
171.0,0.037647,0.043009,0.053732,0.062831
171.5,0.037555,0.042886,0.053732,0.062739
172.0,0.037555,0.042886,0.053548,0.062616
172.5,0.037555,0.042886,0.053548,0.062555
173.0,0.037494,0.042702,0.053395,0.062433
173.5,0.037371,0.042702,0.053364,0.062325
174.0,0.037371,0.042702,0.053272,0.062218
174.5,0.037341,0.042549,0.05318,0.062126
175.0,0.037279,0.042518,0.053042,0.062004
175.5,0.037249,0.042518,0.052996,0.061912
176.0,0.037187,0.042335,0.05295,0.06182
176.5,0.037187,0.042335,0.052812,0.061697
177.0,0.037187,0.042335,0.052812,0.061636
177.5,0.037065,0.042151,0.052629,0.061513
178.0,0.037004,0.042151,0.052567,0.06136
178.5,0.037004,0.042105,0.052445,0.061268
179.0,0.036973,0.042059,0.052445,0.061238
179.5,0.036912,0.041967,0.052307,0.061085
180.0,0.03685,0.041967,0.052261,0.060993
180.5,0.03682,0.041921,0.052215,0.060901
181.0,0.036789,0.041783,0.052077,0.060809
181.5,0.036728,0.041783,0.052077,0.060717
182.0,0.036667,0.041752,0.051924,0.060625
182.5,0.036636,0.04163,0.051893,0.060502
183.0,0.036636,0.041599,0.051756,0.060395
