omega,T_degC,kappa_eq9_S_m-1,kappa_eq10_modified_casteel_amis_S_m-1
0.77,72,0.24036,0.347538
0.78,25,0.056229,0.090281
0.78,30,0.065209,0.108136
0.78,40,0.086998,0.147786
0.78,50,0.114949,0.193064
0.78,60,0.150588,0.244432
0.78,70,0.195792,0.302369
0.78,72,0.206175,0.314788
0.79,25,0.047825,0.080974
0.79,30,0.05535,0.097069
0.79,40,0.073699,0.132884
0.79,50,0.097387,0.173885
0.79,60,0.127778,0.220512
0.79,70,0.166558,0.273224
0.79,72,0.175496,0.284539
0.8,25,0.040476,0.072476
0.8,30,0.046717,0.086956
0.8,40,0.062016,0.119239
0.8,50,0.081897,0.156289
0.8,60,0.107569,0.198524
0.8,70,0.140534,0.246383
0.8,72,0.14816,0.256669
