# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 9: grind size distributions of all four analysable grinds (Cimbali #30 too coarse for the Mastersizer, not shown in source)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: identical to Fig 1 (log decade ticks; y 0-10%)
# JK and Cimbali#20 curves are numerically identical to Fig 1 (same underlying data replotted): max |dy| < 0.01
series,particle_size_um,volume_fraction_pct
DE_standard_drip,1782.7034,0.118
DE_standard_drip,2046.7137,0.0
DE_standard_drip,2350.1681,0.0
DE_standard_drip,2698.2204,0.0
DE_standard_drip,3098.2665,0.0
DE_standard_drip,3556.8484,0.0
DE_standard_drip,4083.9063,0.0
DE_standard_drip,4688.7144,0.0
DE_standard_drip,5383.4874,0.0
DE_standard_drip,6180.7644,0.0
DE_standard_drip,7097.1506,0.0
DE_standard_drip,8148.8053,0.0
DE_standard_drip,9355.6171,0.0
DE_coarse_drip,0.0107,0.0
DE_coarse_drip,0.0123,0.0
DE_coarse_drip,0.0142,0.0
DE_coarse_drip,0.0163,0.0
DE_coarse_drip,0.0187,0.0
DE_coarse_drip,0.0214,0.0
DE_coarse_drip,0.0246,0.0
DE_coarse_drip,0.0283,0.0
DE_coarse_drip,0.0324,0.0
DE_coarse_drip,0.0372,0.0
DE_coarse_drip,0.0428,0.0
DE_coarse_drip,0.0491,0.0
DE_coarse_drip,0.0564,0.0
DE_coarse_drip,0.0647,0.0
DE_coarse_drip,0.0743,0.0
DE_coarse_drip,0.0853,0.0
DE_coarse_drip,0.098,0.0
DE_coarse_drip,0.1125,0.0
DE_coarse_drip,0.1291,0.0
DE_coarse_drip,0.1483,0.0
DE_coarse_drip,0.1702,0.0
DE_coarse_drip,0.1955,0.0
DE_coarse_drip,0.2244,0.0
DE_coarse_drip,0.2577,0.0
DE_coarse_drip,0.2958,0.0
DE_coarse_drip,0.3397,0.0
DE_coarse_drip,0.39,0.0
DE_coarse_drip,0.4478,0.0611
DE_coarse_drip,0.5141,0.073
DE_coarse_drip,0.5903,0.0812
DE_coarse_drip,0.6778,0.082
DE_coarse_drip,0.7781,0.0814
DE_coarse_drip,0.8934,0.0783
DE_coarse_drip,1.0258,0.0766
DE_coarse_drip,1.1778,0.0791
DE_coarse_drip,1.3523,0.0881
DE_coarse_drip,1.5527,0.1045
DE_coarse_drip,1.7827,0.1273
DE_coarse_drip,2.0467,0.1536
DE_coarse_drip,2.3499,0.1799
DE_coarse_drip,2.6981,0.2039
DE_coarse_drip,3.0981,0.224
DE_coarse_drip,3.5566,0.2403
DE_coarse_drip,4.0837,0.2536
DE_coarse_drip,4.6888,0.2658
DE_coarse_drip,5.3832,0.2796
DE_coarse_drip,6.1809,0.2985
DE_coarse_drip,7.0967,0.3254
DE_coarse_drip,8.1483,0.3638
DE_coarse_drip,9.3558,0.4145
DE_coarse_drip,10.7413,0.4794
DE_coarse_drip,12.333,0.5546
DE_coarse_drip,14.1594,0.6374
DE_coarse_drip,16.2575,0.7189
DE_coarse_drip,18.6666,0.7926
DE_coarse_drip,21.4326,0.8484
DE_coarse_drip,24.6067,0.8806
DE_coarse_drip,28.253,0.8848
DE_coarse_drip,32.4395,0.862
DE_coarse_drip,37.2436,0.8178
DE_coarse_drip,42.7624,0.762
DE_coarse_drip,49.0989,0.707
DE_coarse_drip,56.3744,0.6654
DE_coarse_drip,64.7185,0.6476
DE_coarse_drip,74.314,0.6593
DE_coarse_drip,85.3258,0.7002
DE_coarse_drip,97.9694,0.7628
DE_coarse_drip,112.47,0.8362
DE_coarse_drip,129.1453,0.9042
DE_coarse_drip,148.2821,0.9562
DE_coarse_drip,170.2421,0.9856
DE_coarse_drip,195.4686,1.0024
DE_coarse_drip,224.4169,1.0338
DE_coarse_drip,257.6709,1.1319
DE_coarse_drip,295.8312,1.3607
DE_coarse_drip,339.692,1.7976
DE_coarse_drip,389.9992,2.4892
DE_coarse_drip,447.7893,3.4622
DE_coarse_drip,514.1426,4.6606
DE_coarse_drip,590.2855,5.9822
DE_coarse_drip,677.8037,7.2461
DE_coarse_drip,778.127,8.252
DE_coarse_drip,893.4298,8.8067
DE_coarse_drip,1025.8181,8.7749
DE_coarse_drip,1177.9102,8.1086
DE_coarse_drip,1352.2555,6.8559
DE_coarse_drip,1552.6325,5.1749
DE_coarse_drip,1782.7034,2.9568
DE_coarse_drip,2046.7137,0.7039
DE_coarse_drip,2350.1681,0.0
DE_coarse_drip,2698.2204,0.0
DE_coarse_drip,3098.2665,0.0
DE_coarse_drip,3556.8484,0.0
DE_coarse_drip,4083.9063,0.0
DE_coarse_drip,4688.7144,0.0
DE_coarse_drip,5383.4874,0.0
DE_coarse_drip,6180.7644,0.0
DE_coarse_drip,7097.1506,0.0
DE_coarse_drip,8148.8053,0.0
DE_coarse_drip,9355.6171,0.0
