reference_pressure_round__bar,shot_id,window,n_samples,basket_pressure__bar,mass_flow_rate__g_per_s
9.00000,9-2,mean_110_120s,107,8.71076,1.86571
9.00000,9-3,endpoint_100s,2,8.67432,1.89745
9.00000,9-3,mean_90_100s,108,8.71845,1.91000
9.00000,9-3,mean_110_120s,93,8.61951,1.88821
9.00000,9-4,endpoint_100s,2,8.71974,1.84499
9.00000,9-4,mean_90_100s,107,8.69572,1.84300
9.00000,9-4,mean_110_120s,75,8.56314,1.86435
9.00000,9-5,endpoint_100s,2,8.73984,1.68079
9.00000,9-5,mean_90_100s,107,8.72729,1.72678
9.00000,9-5,mean_110_120s,107,8.74153,1.68927
