exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,5-CQA,1/1,89.15382,mg,4.457691
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,5-CQA,1/2,123.41465,mg,3.08536625
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,5-CQA,1/3,136.58072,mg,2.2763453333333334
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,TDS,1/1,2.96594,g,0.14829699999999998
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,TDS,1/2,3.90837,g,0.09770925
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,TDS,1/3,4.20784,g,0.07013066666666666
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,trigonelline,1/1,83.53292,mg,4.176646
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,trigonelline,1/2,105.76142,mg,2.6440355
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,trigonelline,1/3,111.67653,mg,1.8612755
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,caffeine,1/1,142.62158,mg,7.131079
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,caffeine,1/2,194.87128,mg,4.8717820000000005
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,caffeine,1/3,214.01305,mg,3.5668841666666666
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,5-CQA,1/1,92.03177,mg,4.6015885
