exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
7.0,2.0,1.7,89.0,2.0,3.0,6.2447,17.50945,2.21832,4.37572,2.86658
7.0,2.0,1.7,89.0,2.0,5.0,6.9028,29.9216,1.12029,2.5289,1.58242
7.0,2.0,1.7,89.0,2.0,7.0,5.8003,42.97035,0.82569,2.03804,1.2912
7.0,2.0,1.7,89.0,2.0,10.0,6.0727,60.50845,0.35363,1.12571,0.66429
7.0,2.0,1.7,89.0,3.0,1.0,7.8637,3.93185,5.41203,8.24879,5.99961
7.0,2.0,1.7,89.0,3.0,2.0,6.1875,10.95745,3.23801,5.74766,3.9354
7.0,2.0,1.7,89.0,3.0,3.0,6.2132,17.1578,2.33123,4.39257,3.00712
7.0,2.0,1.7,89.0,3.0,5.0,5.8168,28.9637,1.25589,2.789,1.807
7.0,2.0,1.7,89.0,3.0,7.0,5.7181,40.42665,0.75453,1.90613,1.22766
7.0,2.0,1.7,89.0,3.0,10.0,5.4574,57.642,0.35501,1.12477,0.68935
7.0,2.0,1.7,89.0,4.0,1.0,7.1118,3.5559,5.26274,8.32872,5.55971
7.0,2.0,1.7,89.0,4.0,2.0,5.7641,9.99385,3.47684,6.2654,4.0166
7.0,2.0,1.7,89.0,4.0,3.0,5.4917,15.62175,2.46119,4.73923,3.0179
7.0,2.0,1.7,89.0,4.0,5.0,5.0802,26.2648,1.31199,3.02091,1.82539
7.0,2.0,1.7,89.0,4.0,7.0,5.1249,36.84865,0.7387,1.99183,1.18461
7.0,2.0,1.7,89.0,4.0,10.0,5.2337,52.31695,0.36083,1.21896,0.68956
7.0,2.0,1.7,89.0,5.0,1.0,8.1326,4.0663,5.35071,8.42056,5.62738
7.0,2.0,1.7,89.0,5.0,2.0,5.7291,10.99715,3.28216,6.04126,3.82209
7.0,2.0,1.7,89.0,5.0,3.0,5.4265,16.57495,2.25701,4.50998,2.82871
7.0,2.0,1.7,89.0,5.0,5.0,5.3071,27.38035,1.24895,2.90882,1.73436
7.0,2.0,1.7,89.0,5.0,7.0,5.1933,37.82095,0.75589,2.01714,1.1989
7.0,2.0,1.7,89.0,5.0,10.0,5.1941,53.22095,0.33603,1.17934,0.65921
7.0,2.0,1.7,89.0,6.0,1.0,8.156,4.078,5.43982,8.68234,5.73006
7.0,2.0,1.7,89.0,6.0,2.0,5.6312,10.9716,3.31425,6.17759,3.88964
7.0,2.0,1.7,89.0,6.0,3.0,5.625,16.5997,2.26197,4.60944,2.89941
7.0,2.0,1.7,89.0,6.0,5.0,5.2812,27.6282,1.2333,2.981,1.73552
7.0,2.0,1.7,89.0,6.0,7.0,5.0993,37.91675,0.70416,1.99812,1.16138
7.0,2.0,1.7,89.0,6.0,10.0,5.0373,53.42745,0.30333,1.15103,0.62821
8.0,1.0,1.4,80.0,1.0,1.0,4.6705,2.33525,6.59626,9.9235,6.64493
8.0,1.0,1.4,80.0,1.0,2.0,6.3918,7.8664,4.05338,7.04393,4.5557
8.0,1.0,1.4,80.0,1.0,3.0,6.1572,14.1409,2.40739,4.76913,3.03252
8.0,1.0,1.4,80.0,1.0,5.0,5.8094,25.7199,1.07699,2.68036,1.57936
8.0,1.0,1.4,80.0,1.0,7.0,5.3917,36.79965,0.61834,1.75979,1.03705
8.0,1.0,1.4,80.0,1.0,10.0,5.2872,53.5088,0.29546,1.04623,0.58712
8.0,1.0,1.4,80.0,2.0,1.0,3.067,1.5335,6.74895,9.60225,6.62969
8.0,1.0,1.4,80.0,2.0,2.0,7.0051,6.56955,4.7399,7.51549,5.08678
8.0,1.0,1.4,80.0,2.0,3.0,5.796,12.9701,2.79325,5.06667,3.35175
8.0,1.0,1.4,80.0,2.0,5.0,5.7449,24.67245,1.14808,2.7151,1.65606
8.0,1.0,1.4,80.0,2.0,7.0,5.4546,35.6136,0.60037,1.69071,1.01651
8.0,1.0,1.4,80.0,2.0,10.0,5.5729,52.24735,0.26196,0.94396,0.53298
8.0,1.0,1.4,80.0,3.0,1.0,5.0805,2.54025,6.21011,9.51707,6.32649
8.0,1.0,1.4,80.0,3.0,2.0,6.4749,8.31795,3.96641,6.87358,4.45672
8.0,1.0,1.4,80.0,3.0,3.0,5.9612,14.536,2.52677,4.86354,3.11228
8.0,1.0,1.4,80.0,3.0,5.0,5.5156,25.9432,1.09213,2.72538,1.61753
8.0,1.0,1.4,80.0,3.0,7.0,5.1732,36.8376,0.58765,1.74371,1.02772
8.0,1.0,1.4,80.0,3.0,10.0,5.1667,47.58345,0.2818,1.07827,0.6019
9.0,1.0,1.4,98.0,1.0,1.0,5.1145,2.55725,5.7171,9.1129,6.21798
9.0,1.0,1.4,98.0,1.0,2.0,5.98,8.1045,4.04875,7.1522,4.75339
9.0,1.0,1.4,98.0,1.0,3.0,5.7717,13.98035,2.7187,5.24559,3.46804
9.0,1.0,1.4,98.0,1.0,5.0,5.5781,25.26435,1.19949,2.96822,1.83166
9.0,1.0,1.4,98.0,1.0,7.0,5.0627,36.01595,0.59732,1.77833,1.07621
9.0,1.0,1.4,98.0,1.0,10.0,5.6456,51.7644,0.28667,1.02276,0.59519
9.0,1.0,1.4,98.0,2.0,1.0,5.0318,2.5159,5.92792,9.3779,6.34338
9.0,1.0,1.4,98.0,2.0,2.0,6.3182,8.1909,4.44439,7.69204,5.07715
9.0,1.0,1.4,98.0,2.0,3.0,6.1782,14.4391,2.99492,5.78048,3.79235
9.0,1.0,1.4,98.0,2.0,5.0,5.5879,26.83235,1.30855,3.35101,2.04089
9.0,1.0,1.4,98.0,2.0,7.0,4.5327,37.43575,0.57358,1.90005,1.10686
9.0,1.0,1.4,98.0,2.0,10.0,4.0625,53.84705,0.22082,0.97022,0.52515
9.0,1.0,1.4,98.0,3.0,1.0,6.4771,3.23855,5.91439,9.29467,6.31665
9.0,1.0,1.4,98.0,3.0,2.0,5.2587,9.10645,4.25037,7.46027,4.82316
9.0,1.0,1.4,98.0,3.0,3.0,5.9838,14.7277,3.06009,5.91022,3.80109
9.0,1.0,1.4,98.0,3.0,5.0,5.3113,25.67645,1.14326,3.0149,1.78618
9.0,1.0,1.4,98.0,3.0,7.0,5.4412,36.167,0.53992,1.74302,1.00996
9.0,1.0,1.4,98.0,3.0,10.0,5.2831,51.78685,0.2722,1.04631,0.59121
10.0,1.0,2.0,80.0,1.0,1.0,6.7728,3.3864,5.79473,8.6295,6.00835
10.0,1.0,2.0,80.0,1.0,2.0,,,4.06834,6.56637,4.55963
10.0,1.0,2.0,80.0,1.0,3.0,6.2863,13.11895,2.42319,4.49152,3.07815
10.0,1.0,2.0,80.0,1.0,5.0,5.7222,25.0186,0.97924,2.37157,1.51052
10.0,1.0,2.0,80.0,1.0,7.0,5.9186,36.0662,0.54813,1.54162,0.99623
10.0,1.0,2.0,80.0,1.0,10.0,5.7416,52.3605,0.27283,0.99565,0.61146
10.0,1.0,2.0,80.0,2.0,1.0,7.0911,3.54555,5.61866,8.29944,5.79102
10.0,1.0,2.0,80.0,2.0,2.0,6.5794,10.3808,3.80703,6.26658,4.26186
10.0,1.0,2.0,80.0,2.0,3.0,5.7472,16.5441,2.33496,4.34006,2.92792
10.0,1.0,2.0,80.0,2.0,5.0,5.5789,28.31325,0.9051,2.24239,1.39299
10.0,1.0,2.0,80.0,2.0,7.0,5.354,38.6521,0.5229,1.49206,0.9354
10.0,1.0,2.0,80.0,2.0,10.0,5.5314,56.4119,0.30809,1.01574,0.63513
10.0,1.0,2.0,80.0,3.0,1.0,6.6528,3.3264,5.73972,8.61724,6.05974
10.0,1.0,2.0,80.0,3.0,2.0,6.6182,9.9619,3.92449,6.58767,4.54089
10.0,1.0,2.0,80.0,3.0,3.0,5.8906,16.2163,2.42521,4.65187,3.15778
10.0,1.0,2.0,80.0,3.0,5.0,5.5651,27.60765,0.96979,2.48876,1.56316
10.0,1.0,2.0,80.0,3.0,7.0,5.3284,38.6095,0.51772,1.56958,0.98382
10.0,1.0,2.0,80.0,3.0,10.0,5.8791,55.40515,0.27395,1.0023,0.61834
11.0,1.0,2.0,98.0,1.0,1.0,6.0113,3.00565,6.08968,8.90571,6.44991
11.0,1.0,2.0,98.0,1.0,2.0,6.3269,9.17475,4.41393,7.09329,5.03373
11.0,1.0,2.0,98.0,1.0,3.0,5.7399,15.20815,2.86394,5.20984,3.64761
11.0,1.0,2.0,98.0,1.0,5.0,5.3748,26.0986,1.1764,2.92901,1.90299
11.0,1.0,2.0,98.0,1.0,7.0,5.177,36.9082,0.59471,1.78758,1.14621
11.0,1.0,2.0,98.0,1.0,10.0,5.369,52.9435,0.26676,1.01054,0.61382
11.0,1.0,2.0,98.0,2.0,1.0,5.5,2.75,6.16898,8.98455,6.42469
11.0,1.0,2.0,98.0,2.0,2.0,5.3446,8.1723,4.57184,7.30542,5.10681
11.0,1.0,2.0,98.0,2.0,3.0,5.5528,13.621,3.14148,5.56051,3.85352
11.0,1.0,2.0,98.0,2.0,5.0,5.4845,23.84955,1.31058,3.16437,2.04052
11.0,1.0,2.0,98.0,2.0,7.0,4.7137,32.99855,0.71397,2.01769,1.29435
11.0,1.0,2.0,98.0,2.0,10.0,5.5428,48.0867,0.31653,1.12257,0.68459
11.0,1.0,2.0,98.0,3.0,1.0,6.6655,3.33275,5.93112,8.7708,6.22263
11.0,1.0,2.0,98.0,3.0,2.0,6.0648,9.6979,4.23491,6.95281,4.76956
11.0,1.0,2.0,98.0,3.0,3.0,5.2078,15.3342,2.76135,5.11588,3.47315
