particle_diameter_um,volume_percent_Gs_2.5,volume_percent_Gs_2.0,volume_percent_Gs_1.5,volume_percent_Gs_1.0
107.16,2.064,2.702,3.302,4.371
108.476,2.064,2.702,3.302,4.428
109.808,2.064,2.702,3.34,4.484
111.156,2.064,2.739,3.34,4.54
112.521,2.064,2.739,3.377,4.597
113.903,2.064,2.777,3.396,4.672
115.301,2.064,2.795,3.433,4.728
116.717,2.064,2.814,3.49,4.803
118.15,2.064,2.833,3.527,4.859
119.601,2.064,2.871,3.565,4.916
121.07,2.064,2.908,3.621,4.991
122.556,2.064,2.908,3.677,5.066
124.061,2.064,2.946,3.734,5.141
125.585,2.064,2.983,3.79,5.197
127.127,2.064,3.021,3.865,5.272
128.688,2.064,3.058,3.94,5.347
130.268,2.083,3.077,4.034,5.422
131.867,2.083,3.133,4.109,5.516
133.487,2.101,3.189,4.203,5.591
135.126,2.101,3.246,4.278,5.685
136.785,2.12,3.283,4.371,5.797
138.465,2.139,3.358,4.484,5.891
140.165,2.158,3.433,4.578,6.023
141.886,2.195,3.508,4.69,6.135
143.628,2.233,3.602,4.803,6.266
145.392,2.27,3.677,4.916,6.417
147.177,2.289,3.771,5.047,6.548
148.984,2.326,3.884,5.159,6.698
150.814,2.402,3.977,5.291,6.829
152.666,2.439,4.09,5.441,6.979
154.54,2.477,4.203,5.572,7.129
156.438,2.533,4.315,5.704,7.317
158.359,2.57,4.428,5.854,7.467
160.304,2.645,4.54,5.985,7.636
162.272,2.683,4.672,6.135,7.805
164.265,2.758,4.784,6.285,7.974
166.282,2.795,4.916,6.435,8.143
168.323,2.871,5.028,6.585,8.33
170.39,2.908,5.141,6.735,8.537
172.483,2.983,5.253,6.886,8.724
174.601,3.021,5.385,7.036,8.931
176.744,3.096,5.497,7.186,9.137
178.915,3.152,5.629,7.336,9.325
181.112,3.208,5.76,7.505,9.55
183.336,3.265,5.891,7.655,9.775
185.587,3.358,6.023,7.824,9.962
187.866,3.433,6.173,7.992,10.169
190.173,3.527,6.323,8.18,10.375
192.508,3.602,6.473,8.368,10.563
194.872,3.715,6.679,8.555,10.75
197.265,3.827,6.848,8.762,10.938
199.687,3.94,7.054,9.006,11.107
202.139,4.071,7.261,9.231,11.257
204.621,4.184,7.486,9.475,11.388
207.133,4.315,7.711,9.756,11.557
209.677,4.484,7.955,10.019,11.707
212.252,4.615,8.199,10.281,11.82
214.858,4.784,8.48,10.544,11.951
217.496,4.953,8.743,10.807,12.101
220.167,5.159,9.024,11.069,12.214
222.87,5.366,9.287,11.295,12.364
225.607,5.572,9.568,11.52,12.495
228.377,5.797,9.869,11.745,12.627
231.182,6.041,10.15,11.932,12.777
234.02,6.285,10.469,12.12,12.927
236.894,6.529,10.788,12.289,13.077
239.803,6.811,11.107,12.458,13.265
242.748,7.092,11.426,12.608,13.415
245.728,7.392,11.745,12.608,13.583
248.746,7.674,12.345,12.57,13.752
251.8,7.992,12.57,12.57,13.884
254.892,8.293,12.795,12.795,14.015
258.022,8.612,13.039,13.039,14.109
261.19,8.949,13.321,13.321,14.109
264.397,9.268,13.734,13.734,13.902
267.644,9.606,13.902,13.902,13.902
270.93,9.944,14.109,14.109,14.109
274.257,10.281,14.296,14.296,14.296
277.625,10.619,14.484,14.484,14.484
281.034,10.976,14.672,14.672,14.672
284.485,11.351,14.822,14.822,14.822
287.978,11.726,15.103,15.103,15.103
291.514,12.083,15.103,15.103,15.103
295.094,12.458,15.009,15.009,15.009
298.717,14.39,14.672,14.672,14.672
302.386,14.672,14.672,14.672,14.672
306.099,14.953,14.953,14.953,14.953
309.857,15.103,15.103,15.103,14.953
313.662,15.478,15.478,15.478,13.208
317.514,15.722,15.722,15.722,13.058
321.412,15.947,15.947,15.947,12.927
325.359,16.154,16.154,16.154,12.758
329.354,16.341,16.341,16.154,12.608
333.399,16.51,16.51,15.159,12.458
337.492,16.679,16.679,15.141,12.289
341.637,16.829,16.829,15.084,12.12
345.832,16.979,16.979,15.066,11.932
350.078,17.28,17.28,14.991,11.745
354.377,17.598,17.598,14.916,11.557
358.728,17.767,17.598,14.841,11.37
363.133,18.218,17.167,14.747,11.182
367.592,18.499,17.054,14.653,10.957
372.106,18.78,16.942,14.559,10.75
376.675,19.043,16.811,14.447,10.544
381.301,19.287,16.698,14.315,10.338
385.983,19.512,16.529,14.184,10.113
390.722,19.719,16.398,14.053,9.906
395.52,19.887,16.229,13.902,9.7
400.377,20.019,16.041,13.734,9.475
405.293,20.113,15.835,13.546,9.25
410.27,20.15,15.629,13.377,9.043
415.308,20.15,15.403,13.152,8.818
420.407,20.094,15.159,12.927,8.593
425.57,20.038,14.878,12.702,8.349
430.795,19.962,14.578,12.439,8.124
436.085,19.869,14.278,12.176,7.88
441.44,19.737,13.959,11.895,7.636
446.861,19.625,13.621,11.614,7.411
452.348,19.475,13.283,11.313,7.186
457.902,19.325,12.908,10.994,6.942
463.525,19.137,12.514,10.675,6.717
469.217,18.931,12.233,10.338,6.492
474.978,18.668,11.857,10.019,6.285
480.811,18.33,11.482,9.662,6.06
486.715,17.955,11.088,9.306,5.854
492.691,17.505,10.713,8.931,5.647
498.741,16.998,10.3,8.537,5.46
504.865,16.454,9.906,8.143,5.272
511.065,15.816,9.475,7.73,5.084
517.34,15.253,9.043,7.317,4.897
523.693,14.653,8.63,6.904,4.728
530.123,14.053,8.236,6.51,4.54
536.633,13.377,7.824,6.135,4.353
543.222,12.908,7.448,5.797,4.184
549.893,12.383,7.092,5.478,3.996
556.645,11.914,6.754,5.197,3.827
563.48,11.482,6.435,4.953,3.659
570.399,11.107,6.116,4.747,3.471
577.403,10.75,5.854,4.559,3.302
584.493,10.413,5.572,4.409,3.114
591.67,10.169,5.328,4.278,2.946
598.936,9.906,5.084,4.184,2.777
606.29,9.662,4.859,4.071,2.589
613.735,9.418,4.634,4.071,2.42
621.271,9.193,4.259,4.09,2.251
628.9,8.987,4.09,4.09,2.101
636.622,8.762,3.94,3.94,1.932
644.44,8.537,3.79,3.79,1.801
652.353,8.311,3.602,3.602,1.67
660.363,8.068,3.377,3.377,1.557
668.472,7.824,3.171,3.171,1.52
676.681,7.542,2.964,2.964,1.463
684.99,7.298,2.795,2.795,1.295
693.401,6.998,2.589,2.589,1.238
701.915,6.735,2.383,2.383,1.201
710.534,6.454,2.176,2.176,1.182
719.259,6.154,1.951,1.951,1.182
728.091,5.872,1.782,1.782,1.538
737.032,5.591,1.538,1.538,1.538
746.082,5.31,1.332,1.332,1.332
755.243,5.009,1.144,1.144,1.144
764.517,4.747,0.957,0.957,0.957
773.905,4.465,0.807,0.807,0.807
783.408,4.203,0.713,0.713,0.713
793.027,3.959,0.675,0.675,0.675
802.765,3.677,0.582,0.582,0.582
812.623,3.433,0.582,0.582,0.582
822.601,3.189,0.6,0.6,0.6
832.702,2.927,0.6,0.6,0.6
842.927,2.702,0.6,0.6,0.6
853.277,2.439,0.694,0.694,0.694
863.755,2.195,0.807,0.807,0.807
874.361,1.97,0.863,0.807,0.807
885.098,1.538,1.52,0.769,0.488
895.966,1.52,1.52,0.769,0.3
906.968,1.388,1.388,1.313,0.263
918.105,1.388,1.388,1.388,0.225
929.379,1.388,1.388,1.388,0.188
940.791,1.332,1.332,1.332,0.169
952.343,1.313,1.313,1.313,0.131
964.037,1.313,1.313,1.313,0.113
975.875,1.295,1.295,1.295,0.113
987.858,1.032,1.032,1.032,0.976
999.988,1.032,1.032,1.032,1.032
1012.267,0.976,0.976,0.976,0.976
1024.697,0.976,0.976,0.976,0.094
1037.279,0.826,0.826,0.826,0.094
1050.016,0.675,0.675,0.675,0.113
1062.91,0.675,0.563,0.563,0.113
1075.962,0.844,0.394,0.394,0.319
1089.174,0.882,0.319,0.319,0.319
1102.548,0.901,0.244,0.244,0.244
1116.086,0.901,0.169,0.169,0.169
1129.791,0.882,0.131,0.131,0.131
1143.664,0.863,0.113,0.113,0.113
1157.707,0.807,0.113,0.113,0.113
1171.923,0.75,0.113,0.113,0.113
1186.314,0.675,0.113,0.113,0.113
1200.881,0.619,0.113,0.113,0.113
1215.627,0.544,0.113,0.113,0.113
1230.554,0.469,0.113,0.113,0.113
1245.664,0.413,0.113,0.113,0.113
1260.96,0.338,0.113,0.113,0.113
1276.443,0.263,0.225,0.225,0.225
1292.117,0.225,0.225,0.225,0.225
1307.984,0.188,0.188,0.188,0.188
1324.045,0.169,0.169,0.169,0.169
1340.303,0.131,0.131,0.131,0.131
1356.761,0.113,0.113,0.113,0.113
1373.421,0.113,0.113,0.113,0.113
1390.285,0.113,0.113,0.113,0.113
1407.357,0.113,0.113,0.113,0.113
1424.638,0.113,0.113,0.113,0.113
1442.132,0.113,0.113,0.113,0.113
1459.84,0.113,0.113,0.113,0.113
1477.766,0.113,0.113,0.113,0.113
1495.912,0.113,0.113,0.113,0.113
1514.281,0.113,0.113,0.113,0.113
1532.875,0.113,0.113,0.113,0.113
1551.698,0.113,0.113,0.113,0.113
1570.751,0.113,0.113,0.113,0.113
1590.039,0.113,0.113,0.113,0.113
1609.564,0.113,0.113,0.113,0.113
1629.328,0.113,0.113,0.113,0.113
1649.335,0.113,0.113,0.113,0.113
1669.587,0.113,0.113,0.113,0.113
1690.089,0.113,0.113,0.113,0.113
1710.842,0.113,0.113,0.113,0.113
1731.85,0.113,0.113,0.113,0.113
1753.115,0.113,0.113,0.113,0.113
1774.642,0.113,0.113,0.113,0.113
1796.434,0.113,0.113,0.113,0.113
1818.493,0.113,0.113,0.113,0.113
1840.822,0.113,0.113,0.113,0.113
1863.426,0.113,0.113,0.113,0.113
1886.308,0.113,0.113,0.113,0.113
1909.47,0.113,0.113,0.113,0.113
